年,月,日, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉
2019,5,13,6.98,12.2,7.43,13.3,13.2
2019,5,14,6.95,12.2,7.41,13.3,13.2
2019,5,15,6.95,12.2,7.39,13.3,13.2
2019,5,16,7.02,12.2,7.37,13.3,13.2
2019,5,17,7.32,12.2,7.37,13.3,13.2
2019,5,18,,,,,
2019,5,19,,,,,
2019,5,20,7.48,12.2,7.45,13.3,13.18
2019,5,21,7.52,12.1,7.55,13.2,13.18
2019,5,22,7.53,12.1,,13.2,13.12
2019,5,23,7.53,12.1,7.6,13.2,13.12
2019,5,24,7.48,12.1,7.65,13.2,13.1
2019,5,25,,,,,
2019,5,26,,,,,
2019,5,27,7.48,12.1,7.65,13.2,13.1
2019,5,28,7.5,12.1,7.65,13.2,13.13
2019,5,29,7.8,12.2,7.65,13.3,13.25
2019,5,30,7.77,12.2,7.75,13.3,13.12
2019,5,31,7.9,12.2,7.8,13.3,13.27
2019,6,1,,,,,
2019,6,2,,,,,
2019,6,3,8,12.2,7.88,13.3,13.22
2019,6,4,8.25,12.2,7.98,13.3,13.22
2019,6,5,8.25,12.2,8.03,13.3,13.2
2019,6,6,8.3,12.3,8.28,13.4,13.2
2019,6,7,,,,,
2019,6,8,,,,,
2019,6,9,,,,,
2019,6,10,8.2,12.3,8.33,13.4,13.27
2019,6,11,8.2,12.3,8.33,13.4,13.35
2019,6,12,8.2,12.3,8.33,13.4,13.35
2019,6,13,8.15,12.5,8.33,13.6,13.45
2019,6,14,8.15,12.5,8.33,13.6,13.5
2019,6,15,,,,,
2019,6,16,,,,,
2019,6,17,8.3,12.6,8.33,13.7,13.63
2019,6,18,8.3,12.7,8.4,13.8,13.68
2019,6,19,8.35,12.7,8.43,13.8,13.62
2019,6,20,8.3,12.7,8.43,13.8,13.62
2019,6,21,8.3,12.7,8.43,13.8,13.7
2019,6,22,,,,,
2019,6,23,,,,,
2019,6,24,8.3,12.7,8.43,13.8,13.7
2019,6,25,8.3,12.7,8.43,13.8,13.73
2019,6,26,8.3,12.7,8.43,13.8,13.7
2019,6,27,8.25,12.7,8.43,13.8,13.69
2019,6,28,8.25,12.7,8.43,13.8,13.68
2019,6,29,,,,,
2019,6,30,,,,,
2019,7,1,8.2,12.7,8.43,13.8,13.77
2019,7,2,8.2,12.7,8.4,13.8,13.67
2019,7,3,8.15,12.7,8.35,13.8,13.65
2019,7,4,8.15,12.7,8.33,13.8,13.68
2019,7,5,8.15,12.7,8.33,13.8,13.68
2019,7,6,,,,,
2019,7,7,,,,,
2019,7,8,8.15,12.6,8.33,13.7,13.65
2019,7,9,8.2,12.6,8.33,13.7,13.65
2019,7,10,8.22,12.6,8.36,13.7,13.65
2019,7,11,8.25,12.6,8.4,13.7,13.68
2019,7,12,8.3,12.65,8.43,13.75,13.7
2019,7,13,,,,,
2019,7,14,,,,,
2019,7,15,8.5,12.65,8.47,13.75,13.67
2019,7,16,8.5,12.65,8.54,13.75,13.65
2019,7,17,8.5,12.65,8.56,13.75,13.63
2019,7,18,8.5,12.65,8.56,13.75,13.62
2019,7,19,8.5,12.65,8.56,13.75,13.62
2019,7,20,,,,,
2019,7,21,,,,,
2019,7,22,8.5,12.6,8.56,13.7,13.67
2019,7,23,8.5,12.6,8.56,13.7,13.65
2019,7,24,8.45,12.6,8.56,13.7,13.63
2019,7,25,8.45,12.6,8.54,13.7,13.63
2019,7,26,8.4,12.6,8.52,13.7,13.62
2019,7,27,,,,,
2019,7,28,,,,,
2019,7,29,8.35,12.6,8.5,13.7,13.6
2019,7,30,8.35,12.6,8.48,13.7,13.6
2019,7,31,8.3,12.6,8.48,13.7,13.58
2019,8,1,8.25,12.6,8.48,13.7,13.55
